Customer ID#,Account No.,Balance,Type,Currency
ID43,BOS8855943,1652,CURRENT,CHF
ID44,BOS3387844,680976,CURRENT,CHF
ID45,BOS1573545,733067,SAVINGS,HKD
ID46,BOS3620946,928351,SAVINGS,INR
ID47,BOS3467947,953858,SAVINGS,USD
ID48,BOS3229448,38161,SAVINGS,GBP
ID49,BOS3852449,223136,SAVINGS,USD
ID50,BOS7667550,819080,CURRENT,INR
ID51,BOS1068951,736497,CURRENT,CHF
ID52,BOS5932652,575596,CURRENT,CHF
ID53,BOS2092753,283156,SAVINGS,CHF
ID54,BOS3101454,542943,SAVINGS,INR
ID55,BOS4030755,654443,CURRENT,EUR
ID56,BOS9966256,652044,CURRENT,USD
ID57,BOS372757,840903,SAVINGS,CHF
ID58,BOS5473958,254306,CURRENT,SEK
ID59,BOS7591659,230072,SAVINGS,EUR
ID60,BOS9252860,566137,CURRENT,HKD
ID61,BOS9589161,668182,CURRENT,GBP
ID62,BOS9653762,527290,SAVINGS,EUR
ID63,BOS6074463,114028,CURRENT,GBP
ID64,BOS5727364,38579,CURRENT,AUD
ID65,BOS5577665,620937,SAVINGS,SEK
ID66,BOS2168166,969346,SAVINGS,SEK
ID67,BOS1121967,953166,SAVINGS,HKD
ID68,BOS9598568,383032,CURRENT,USD
ID69,BOS6568569,98106,SAVINGS,CHF
ID70,BOS4101770,471567,CURRENT,CHF
ID71,BOS766071,454150,CURRENT,USD
ID72,BOS1694272,167832,CURRENT,CAD
ID73,BOS4861073,308871,CURRENT,SEK
ID74,BOS1740474,566569,SAVINGS,AUD
ID75,BOS366575,590963,SAVINGS,CHF
ID76,BOS7312976,392557,CURRENT,AUD
ID77,BOS8212677,224406,SAVINGS,SGD
ID78,BOS2825878,77926,SAVINGS,AUD
ID79,BOS2644479,66544,CURRENT,CAD
ID80,BOS3683680,259454,SAVINGS,SEK
ID81,BOS5886981,436923,SAVINGS,CAD
ID82,BOS5120682,705837,CURRENT,USD
ID83,BOS2838783,176416,CURRENT,EUR
ID84,BOS2057584,859134,SAVINGS,HKD
ID85,BOS4692285,570995,SAVINGS,CHF
ID86,BOS898986,57873,SAVINGS,INR
ID87,BOS34187,439855,SAVINGS,USD
ID88,BOS1758088,781690,CURRENT,EUR
ID89,BOS2538989,701398,SAVINGS,SEK
ID90,BOS5819290,475905,CURRENT,HKD
ID91,BOS7025091,435318,CURRENT,CAD
ID92,BOS5779792,483501,CURRENT,INR
ID93,BOS5031293,97514,SAVINGS,CAD
ID94,BOS1666694,602511,CURRENT,CHF
ID95,BOS9314895,977146,SAVINGS,USD
ID96,BOS5592196,97535,CURRENT,CHF
ID97,BOS6469597,186367,CURRENT,SEK
ID98,BOS5609898,483688,SAVINGS,EUR
ID99,BOS8059799,208045,CURRENT,SGD
ID100,BOS67328100,947508,CURRENT,AUD
ID101,BOS91091101,111280,CURRENT,EUR
ID102,BOS67488102,638439,SAVINGS,CAD
ID103,BOS59102103,199205,SAVINGS,EUR
ID104,BOS78950104,100751,CURRENT,SEK
ID105,BOS91048105,267612,SAVINGS,CAD
ID106,BOS7938106,790840,CURRENT,EUR
ID107,BOS79108107,896600,SAVINGS,CHF
ID108,BOS49761108,690935,CURRENT,AUD
ID109,BOS29208109,784516,CURRENT,CAD
ID110,BOS48081110,813928,CURRENT,GBP
ID111,BOS43209111,542294,CURRENT,SGD
ID112,BOS38179112,872686,CURRENT,SGD
ID113,BOS69999113,602473,SAVINGS,SEK
ID114,BOS7062114,60340,CURRENT,GBP
ID115,BOS85802115,549782,CURRENT,HKD
ID116,BOS17498116,926472,SAVINGS,SEK
ID117,BOS58790117,451693,SAVINGS,CAD
ID118,BOS49673118,481589,SAVINGS,EUR
ID119,BOS82499119,165483,CURRENT,SEK
ID120,BOS84254120,720390,CURRENT,HKD
ID121,BOS18765121,627798,SAVINGS,AUD
ID122,BOS15072122,570257,SAVINGS,EUR
ID123,BOS98388123,432069,CURRENT,INR
ID124,BOS15823124,296559,SAVINGS,INR
ID125,BOS73471125,122105,CURRENT,SGD
ID126,BOS85109126,117900,SAVINGS,USD
ID127,BOS97946127,532800,SAVINGS,AUD
ID128,BOS12747128,281815,CURRENT,USD
ID129,BOS95621129,647447,CURRENT,SEK
ID130,BOS44250130,936199,SAVINGS,USD
ID131,BOS70718131,807745,CURRENT,HKD
ID132,BOS95743132,252808,SAVINGS,AUD
ID133,BOS69107133,439637,SAVINGS,EUR
ID134,BOS33456134,863233,CURRENT,CHF
ID135,BOS11713135,814686,CURRENT,GBP
ID136,BOS48350136,35722,CURRENT,GBP
ID137,BOS65306137,511,SAVINGS,CAD
ID138,BOS96528138,52355,SAVINGS,GBP
ID139,BOS5176139,490947,SAVINGS,HKD
ID140,BOS3328140,448606,SAVINGS,INR
ID141,BOS10997141,577847,CURRENT,CHF
ID142,BOS6900142,263811,SAVINGS,CHF
ID143,BOS43855143,973531,SAVINGS,GBP
ID144,BOS82290144,455763,SAVINGS,GBP
ID145,BOS84329145,116938,SAVINGS,GBP
ID146,BOS78109146,172454,CURRENT,SGD
ID147,BOS88536147,654591,SAVINGS,SGD
ID148,BOS19408148,935589,SAVINGS,CAD
ID149,BOS74908149,69116,SAVINGS,CHF
ID150,BOS44327150,20269,CURRENT,SGD
ID151,BOS70181151,601405,CURRENT,GBP
ID152,BOS46706152,538319,CURRENT,USD
ID153,BOS65958153,522930,CURRENT,EUR
ID154,BOS53024154,143681,CURRENT,INR
ID155,BOS42391155,662076,CURRENT,INR
ID156,BOS76401156,508435,SAVINGS,AUD
ID157,BOS86469157,722253,CURRENT,SEK
ID158,BOS25722158,596207,SAVINGS,USD
ID159,BOS12889159,820555,CURRENT,INR
ID160,BOS41325160,876489,SAVINGS,CHF
ID161,BOS14780161,311135,SAVINGS,CAD
ID162,BOS36589162,650759,SAVINGS,CHF
ID163,BOS53501163,459107,CURRENT,AUD
ID164,BOS26420164,648758,CURRENT,AUD
ID165,BOS33963165,463775,SAVINGS,EUR
ID166,BOS18613166,676620,CURRENT,AUD
ID167,BOS4555167,255015,CURRENT,USD
ID168,BOS89008168,761757,CURRENT,SEK
ID169,BOS85072169,763272,SAVINGS,GBP
ID170,BOS61794170,727825,SAVINGS,SGD
ID171,BOS31075171,620983,CURRENT,HKD
ID172,BOS46529172,709945,SAVINGS,SEK
ID173,BOS29154173,802099,SAVINGS,SEK
ID174,BOS70184174,236317,SAVINGS,SGD
ID175,BOS59390175,993715,SAVINGS,CAD
ID176,BOS44813176,354286,SAVINGS,INR
ID177,BOS27041177,377750,SAVINGS,HKD
ID178,BOS87955178,262351,CURRENT,SEK
ID179,BOS41778179,921961,SAVINGS,EUR
ID180,BOS85276180,496277,SAVINGS,CAD
ID181,BOS34740181,729766,CURRENT,CHF
ID182,BOS85706182,788541,CURRENT,GBP
ID183,BOS87169183,417297,SAVINGS,AUD
ID184,BOS31839184,705169,CURRENT,SGD
ID185,BOS80994185,982883,SAVINGS,SGD
ID186,BOS70125186,503402,CURRENT,AUD
ID187,BOS6017187,305267,CURRENT,SGD
ID188,BOS50183188,664308,SAVINGS,GBP
ID189,BOS39662189,445937,CURRENT,CAD
ID190,BOS14958190,905895,CURRENT,GBP
ID191,BOS52672191,893850,CURRENT,GBP
ID192,BOS61104192,300357,CURRENT,AUD
ID193,BOS52568193,101907,SAVINGS,HKD
ID194,BOS90359194,730256,CURRENT,INR
ID195,BOS19650195,153679,CURRENT,GBP
ID196,BOS28452196,93089,SAVINGS,INR
ID197,BOS65462197,927520,CURRENT,HKD
ID198,BOS30360198,679878,CURRENT,USD
ID199,BOS55607199,988081,SAVINGS,HKD
ID200,BOS99720200,86628,CURRENT,SEK
ID201,BOS52547201,705536,CURRENT,SEK
ID202,BOS81815202,462329,CURRENT,SEK
ID203,BOS41346203,894272,CURRENT,USD
ID204,BOS22407204,2895,SAVINGS,AUD
ID205,BOS4550205,373619,CURRENT,CAD
ID206,BOS87030206,1239,SAVINGS,SEK
ID207,BOS60843207,771474,SAVINGS,CAD
ID208,BOS34137208,673659,CURRENT,INR
ID209,BOS54276209,310870,CURRENT,HKD
ID210,BOS48800210,204536,SAVINGS,SGD
ID211,BOS76936211,534126,CURRENT,GBP
ID212,BOS97975212,283666,SAVINGS,SEK
ID213,BOS84068213,603835,CURRENT,INR
ID214,BOS31591214,297994,SAVINGS,SEK
ID215,BOS77091215,960702,CURRENT,AUD
ID216,BOS18999216,127033,SAVINGS,HKD
ID217,BOS68497217,718324,CURRENT,GBP
ID218,BOS11829218,732554,SAVINGS,SGD
ID219,BOS63577219,228247,SAVINGS,SEK
ID220,BOS73234220,770235,SAVINGS,SEK
ID221,BOS6319221,287940,SAVINGS,GBP
ID222,BOS84068222,341112,SAVINGS,CAD
ID223,BOS42986223,769189,SAVINGS,HKD
ID224,BOS65523224,640257,CURRENT,CAD
ID225,BOS92833225,295266,CURRENT,HKD
ID226,BOS83870226,378461,CURRENT,AUD
ID227,BOS54959227,586305,CURRENT,SEK
ID228,BOS97846228,816248,CURRENT,EUR
ID229,BOS29722229,449830,CURRENT,EUR
ID230,BOS53203230,169902,SAVINGS,AUD
ID231,BOS65144231,304515,SAVINGS,EUR
ID232,BOS18289232,900679,CURRENT,CAD
ID233,BOS35568233,115128,CURRENT,USD
ID234,BOS79761234,433712,SAVINGS,CAD
ID235,BOS63927235,310386,SAVINGS,INR
ID236,BOS60592236,195274,SAVINGS,USD
ID237,BOS11941237,496964,CURRENT,AUD
ID238,BOS80248238,826797,SAVINGS,EUR
ID239,BOS99301239,455892,CURRENT,AUD
ID240,BOS37803240,8164,CURRENT,HKD
ID241,BOS64447241,230914,CURRENT,CHF
ID242,BOS13606242,571427,SAVINGS,HKD
ID243,BOS8912243,428876,CURRENT,HKD
ID244,BOS96348244,425302,CURRENT,SGD
ID245,BOS86799245,708114,SAVINGS,AUD
ID246,BOS4554246,584040,CURRENT,INR
ID247,BOS11771247,92130,SAVINGS,HKD
ID248,BOS69898248,414578,SAVINGS,HKD
ID249,BOS26905249,869688,CURRENT,SGD
ID250,BOS37922250,720382,CURRENT,CHF
ID251,BOS88300251,634265,SAVINGS,SEK
ID252,BOS39224252,194884,CURRENT,SEK
ID253,BOS33942253,624529,SAVINGS,SEK
ID254,BOS38582254,734608,CURRENT,CHF
ID255,BOS26105255,562313,CURRENT,SEK
ID256,BOS43196256,721409,CURRENT,EUR
ID257,BOS94253257,889686,CURRENT,EUR
ID258,BOS91504258,723603,CURRENT,SEK
ID259,BOS84637259,546105,SAVINGS,HKD
ID260,BOS459260,882803,CURRENT,GBP
ID261,BOS89757261,854820,SAVINGS,CAD
ID262,BOS47297262,778955,SAVINGS,USD
ID263,BOS68705263,535042,SAVINGS,SGD
ID264,BOS35484264,840707,CURRENT,SGD
ID265,BOS79668265,216355,SAVINGS,GBP
ID266,BOS15640266,439046,SAVINGS,SGD
ID267,BOS40988267,905186,CURRENT,AUD
ID268,BOS68372268,357539,CURRENT,SGD
ID269,BOS54055269,783565,CURRENT,CHF
ID270,BOS38310270,405505,SAVINGS,CAD
ID271,BOS35305271,974277,CURRENT,INR
ID272,BOS20312272,17357,SAVINGS,EUR
ID273,BOS54603273,146544,CURRENT,EUR
ID274,BOS99638274,388508,CURRENT,AUD
ID275,BOS58428275,401264,SAVINGS,CAD
ID276,BOS28203276,541791,SAVINGS,USD
ID277,BOS10729277,897220,CURRENT,CHF
ID278,BOS31183278,87921,SAVINGS,CAD
ID279,BOS10700279,44458,SAVINGS,SGD
ID280,BOS15493280,759022,SAVINGS,CHF
ID281,BOS94908281,851412,SAVINGS,INR
ID282,BOS89358282,558723,SAVINGS,USD
ID283,BOS1759283,446942,SAVINGS,SGD
ID284,BOS97137284,510241,SAVINGS,AUD
ID285,BOS61471285,81565,CURRENT,HKD
ID286,BOS86012286,782083,SAVINGS,AUD
ID287,BOS31776287,758473,SAVINGS,AUD
ID288,BOS36679288,154861,CURRENT,GBP
ID289,BOS14439289,467919,SAVINGS,SGD
ID290,BOS83370290,626494,SAVINGS,SGD
ID291,BOS74305291,607156,CURRENT,EUR
ID292,BOS22364292,143946,SAVINGS,GBP
ID293,BOS32389293,372132,CURRENT,EUR
ID294,BOS12044294,962862,CURRENT,EUR
ID295,BOS19771295,821994,SAVINGS,SGD
ID296,BOS15868296,476611,SAVINGS,SGD
ID297,BOS62371297,485909,SAVINGS,SGD
ID298,BOS50591298,988459,SAVINGS,CHF
ID299,BOS87246299,634283,CURRENT,HKD
ID300,BOS86441300,637937,SAVINGS,CHF
ID301,BOS89093301,335692,CURRENT,EUR
ID302,BOS76148302,43362,SAVINGS,CAD
ID303,BOS17120303,282,SAVINGS,EUR
ID304,BOS22944304,184134,CURRENT,GBP
ID305,BOS51749305,950586,SAVINGS,USD
ID306,BOS16094306,50887,CURRENT,CHF
ID307,BOS1591307,901313,SAVINGS,SEK
ID308,BOS73914308,447424,SAVINGS,EUR
ID309,BOS77367309,283975,CURRENT,SEK
ID310,BOS47758310,494456,CURRENT,EUR
ID311,BOS91945311,962740,CURRENT,HKD
ID312,BOS88549312,861245,CURRENT,GBP
ID313,BOS28308313,647925,SAVINGS,HKD
ID314,BOS56732314,696659,CURRENT,SGD
ID315,BOS91172315,723776,SAVINGS,GBP
ID316,BOS7200316,358437,SAVINGS,AUD
ID317,BOS40652317,943366,CURRENT,SGD
ID318,BOS17131318,577439,SAVINGS,SEK
ID319,BOS15441319,923412,CURRENT,SGD
ID320,BOS45558320,922153,CURRENT,AUD
ID321,BOS10530321,192747,CURRENT,AUD
ID322,BOS27825322,809008,CURRENT,SGD
ID323,BOS22037323,981496,SAVINGS,CHF
ID324,BOS98707324,56013,SAVINGS,CAD
ID325,BOS94696325,997428,SAVINGS,AUD
ID326,BOS30222326,375070,SAVINGS,EUR
ID327,BOS16850327,843921,SAVINGS,SEK
ID328,BOS40051328,151231,CURRENT,SGD
ID329,BOS43920329,781688,CURRENT,EUR
ID330,BOS11257330,813437,CURRENT,SGD
ID331,BOS23801331,359498,CURRENT,INR
ID332,BOS79961332,406877,CURRENT,USD
ID333,BOS7317333,632782,SAVINGS,HKD
ID334,BOS56694334,695540,CURRENT,SGD
ID335,BOS59292335,790964,SAVINGS,AUD
ID336,BOS95605336,596375,SAVINGS,INR
ID337,BOS71234337,322683,SAVINGS,SGD
ID338,BOS65044338,146623,SAVINGS,AUD
ID339,BOS3918339,389347,SAVINGS,GBP
ID340,BOS73545340,355864,SAVINGS,HKD
ID341,BOS28216341,716218,SAVINGS,CAD
ID342,BOS16872342,467658,CURRENT,SGD
ID343,BOS21321343,588033,CURRENT,SEK
ID344,BOS41131344,2921,SAVINGS,HKD
ID345,BOS21196345,357974,SAVINGS,AUD
ID346,BOS34026346,291179,CURRENT,GBP
ID347,BOS26675347,616252,CURRENT,GBP
ID348,BOS4813348,94859,CURRENT,CHF
ID349,BOS72521349,699887,CURRENT,SGD
ID350,BOS43379350,976520,SAVINGS,SGD
ID351,BOS44726351,445859,SAVINGS,USD
ID352,BOS90415352,460451,CURRENT,CAD
ID353,BOS39606353,217195,CURRENT,SGD
ID354,BOS31607354,827147,SAVINGS,USD
ID355,BOS8630355,267522,SAVINGS,CAD
ID356,BOS30754356,207780,CURRENT,CHF
ID357,BOS50655357,557178,SAVINGS,SEK
ID358,BOS32939358,888151,SAVINGS,INR
ID359,BOS85974359,451588,CURRENT,HKD
ID360,BOS84214360,688396,CURRENT,SGD
ID361,BOS28390361,369988,CURRENT,SGD
ID362,BOS18266362,118830,SAVINGS,EUR
ID363,BOS22525363,120632,SAVINGS,AUD
ID364,BOS10567364,206132,SAVINGS,CAD
ID365,BOS51279365,71762,CURRENT,HKD
ID366,BOS87508366,209302,SAVINGS,SGD
ID367,BOS26379367,954598,CURRENT,SGD
ID368,BOS61334368,660782,CURRENT,GBP
ID369,BOS28913369,858003,CURRENT,INR
ID370,BOS12569370,654802,SAVINGS,GBP
ID371,BOS76442371,561913,CURRENT,EUR
ID372,BOS33566372,143205,SAVINGS,CHF
ID373,BOS27965373,535515,CURRENT,CHF
ID374,BOS39130374,475940,SAVINGS,USD
ID375,BOS81922375,145657,CURRENT,INR
ID376,BOS93834376,237448,SAVINGS,USD
ID377,BOS58343377,625818,SAVINGS,CHF
ID378,BOS65215378,680194,SAVINGS,AUD
ID379,BOS50747379,3002,SAVINGS,AUD
ID380,BOS37333380,445994,CURRENT,AUD
ID381,BOS81663381,286024,SAVINGS,INR
ID382,BOS91324382,867090,SAVINGS,SGD
ID383,BOS61251383,971203,SAVINGS,CAD
ID384,BOS65404384,503427,CURRENT,EUR
ID385,BOS89549385,62154,SAVINGS,CHF
ID386,BOS36295386,637743,CURRENT,AUD
ID387,BOS61930387,81809,SAVINGS,USD
ID388,BOS99367388,702993,CURRENT,SEK
ID389,BOS85312389,686526,CURRENT,AUD
ID390,BOS18670390,961225,SAVINGS,SEK
ID391,BOS24208391,196567,SAVINGS,CAD
ID392,BOS32254392,774568,CURRENT,EUR
ID393,BOS58310393,707589,CURRENT,CAD
ID394,BOS55381394,735652,CURRENT,EUR
ID395,BOS16961395,601499,SAVINGS,AUD
ID396,BOS97680396,17596,SAVINGS,USD
ID397,BOS41441397,253906,SAVINGS,HKD
ID398,BOS71309398,327082,CURRENT,AUD
ID399,BOS35180399,944139,SAVINGS,SGD
ID400,BOS65487400,259944,SAVINGS,GBP
ID401,BOS59753401,439606,SAVINGS,CAD
ID402,BOS80845402,920741,CURRENT,EUR
ID403,BOS69394403,288095,CURRENT,SEK
ID404,BOS88114404,240679,CURRENT,CAD
ID405,BOS17431405,213833,CURRENT,AUD
ID406,BOS89199406,409786,SAVINGS,EUR
ID407,BOS87584407,993607,SAVINGS,CAD
ID408,BOS6684408,869900,SAVINGS,SGD
ID409,BOS39608409,689632,CURRENT,SGD
ID410,BOS86824410,198869,SAVINGS,USD
ID411,BOS82400411,515768,SAVINGS,CAD
ID412,BOS17683412,41866,SAVINGS,AUD
ID413,BOS97433413,976097,SAVINGS,CAD
ID414,BOS98341414,917617,SAVINGS,GBP
ID415,BOS74767415,307186,CURRENT,INR
ID416,BOS95465416,768051,SAVINGS,EUR
ID417,BOS11173417,740904,CURRENT,SEK
ID418,BOS84985418,149704,CURRENT,SGD
ID419,BOS36880419,918133,CURRENT,SEK
ID420,BOS90088420,546744,CURRENT,GBP
ID421,BOS29375421,743449,SAVINGS,EUR
ID422,BOS29508422,962712,SAVINGS,AUD
ID423,BOS50243423,931985,CURRENT,INR
ID424,BOS63174424,663260,CURRENT,EUR
ID425,BOS99428425,369337,CURRENT,EUR
ID426,BOS98304426,4157,SAVINGS,CHF
ID427,BOS94128427,285477,CURRENT,CHF
ID428,BOS34373428,652265,SAVINGS,CHF
ID429,BOS25945429,397156,SAVINGS,SGD
ID430,BOS33255430,643457,CURRENT,SEK
ID431,BOS88449431,617208,SAVINGS,HKD
ID432,BOS78682432,202548,CURRENT,EUR
ID433,BOS59182433,542011,SAVINGS,GBP
ID434,BOS9085434,526525,SAVINGS,USD
ID435,BOS5867435,595019,CURRENT,CAD
ID436,BOS14791436,474691,CURRENT,SEK
ID437,BOS43710437,681074,CURRENT,INR
ID438,BOS19643438,122930,SAVINGS,HKD
ID439,BOS47189439,862997,CURRENT,INR
ID440,BOS82535440,968113,SAVINGS,SEK
ID441,BOS90555441,400214,SAVINGS,GBP
ID442,BOS55690442,756964,CURRENT,EUR
ID443,BOS9889443,785289,CURRENT,CAD
ID444,BOS46250444,421180,SAVINGS,USD
ID445,BOS42502445,580049,CURRENT,USD
ID446,BOS42116446,805524,CURRENT,USD
ID447,BOS23448447,259828,SAVINGS,SGD
ID448,BOS10372448,121964,SAVINGS,CHF
ID449,BOS48178449,627056,SAVINGS,HKD
ID450,BOS4348450,751108,SAVINGS,EUR
ID451,BOS91753451,495942,SAVINGS,CHF
ID452,BOS47107452,794888,CURRENT,GBP
ID453,BOS95355453,455587,SAVINGS,GBP
ID454,BOS58252454,489206,CURRENT,INR
ID455,BOS71094455,711227,SAVINGS,HKD
ID456,BOS28447456,472080,SAVINGS,EUR
ID457,BOS88478457,114763,SAVINGS,SEK
ID458,BOS87326458,626240,SAVINGS,INR
ID459,BOS61629459,490634,CURRENT,SEK
ID460,BOS1860460,616880,CURRENT,CHF
ID461,BOS9257461,370046,CURRENT,EUR
ID462,BOS55844462,885876,SAVINGS,EUR
ID463,BOS85291463,871869,CURRENT,INR
ID464,BOS5535464,697445,SAVINGS,USD
ID465,BOS92676465,210866,CURRENT,HKD
ID466,BOS42943466,444168,SAVINGS,EUR
ID467,BOS98439467,833358,CURRENT,EUR
ID468,BOS48995468,109878,CURRENT,GBP
ID469,BOS63913469,553009,SAVINGS,GBP
ID470,BOS1665470,157404,CURRENT,SGD
ID471,BOS89001471,29768,SAVINGS,SGD
ID472,BOS95816472,662420,CURRENT,USD
ID473,BOS62093473,663823,SAVINGS,HKD
ID474,BOS84953474,828528,SAVINGS,AUD
ID475,BOS12312475,582549,SAVINGS,EUR
ID476,BOS82773476,856553,CURRENT,EUR
ID477,BOS97347477,8298,CURRENT,EUR
ID478,BOS63439478,19941,SAVINGS,INR
ID479,BOS13202479,255045,CURRENT,EUR
ID480,BOS15225480,51340,SAVINGS,CAD
ID481,BOS83996481,576862,CURRENT,USD
ID482,BOS74104482,68759,CURRENT,CHF
ID483,BOS44301483,480186,SAVINGS,GBP
ID484,BOS20609484,916062,CURRENT,EUR
ID485,BOS81752485,183543,SAVINGS,GBP
ID486,BOS47335486,924282,SAVINGS,GBP
ID487,BOS70850487,472883,CURRENT,HKD
ID488,BOS12752488,242108,SAVINGS,CHF
ID489,BOS94704489,363790,CURRENT,EUR
ID490,BOS90015490,834119,CURRENT,CAD
ID491,BOS94023491,194335,CURRENT,CHF
ID492,BOS61512492,363345,SAVINGS,INR
ID493,BOS70989493,459128,CURRENT,CHF
ID494,BOS73956494,338203,SAVINGS,USD
ID495,BOS96968495,410831,SAVINGS,INR
ID496,BOS69835496,863643,SAVINGS,USD
ID497,BOS96271497,650717,SAVINGS,EUR
ID498,BOS63683498,268826,SAVINGS,CAD
ID499,BOS42802499,203222,CURRENT,SGD
ID500,BOS3045500,684134,CURRENT,GBP
ID501,BOS92064501,561124,CURRENT,INR
ID502,BOS53426502,315110,SAVINGS,AUD
ID503,BOS96390503,442512,CURRENT,AUD
ID504,BOS35565504,303479,SAVINGS,INR
ID505,BOS29887505,579571,SAVINGS,AUD
ID506,BOS23880506,987629,SAVINGS,CAD
ID507,BOS90648507,879628,CURRENT,CHF
ID508,BOS47395508,87684,CURRENT,CAD
ID509,BOS50552509,47983,CURRENT,CHF
ID510,BOS57262510,219806,CURRENT,INR
ID511,BOS21785511,524912,SAVINGS,CHF
ID512,BOS98478512,969397,CURRENT,EUR
ID513,BOS62807513,179260,SAVINGS,HKD
ID514,BOS33300514,18967,CURRENT,SEK
ID515,BOS75790515,499475,CURRENT,EUR
ID516,BOS87228516,966503,SAVINGS,GBP
ID517,BOS73701517,567925,SAVINGS,CHF
ID518,BOS76526518,592516,SAVINGS,EUR
ID519,BOS76740519,974755,SAVINGS,HKD
ID520,BOS74848520,583166,SAVINGS,AUD
ID521,BOS45545521,289415,CURRENT,AUD
ID522,BOS12653522,735657,CURRENT,AUD
ID523,BOS78247523,139803,CURRENT,SGD
ID524,BOS14901524,465463,SAVINGS,SEK
ID525,BOS64159525,61176,SAVINGS,CAD
ID526,BOS13027526,306761,SAVINGS,CHF
ID527,BOS47283527,968239,SAVINGS,INR
ID528,BOS2668528,473013,SAVINGS,CHF
ID529,BOS16875529,542752,SAVINGS,INR
ID530,BOS98222530,186800,CURRENT,INR
ID531,BOS43247531,241608,CURRENT,SGD
ID532,BOS718532,971489,CURRENT,SEK
ID533,BOS47721533,661693,SAVINGS,AUD
ID534,BOS15170534,764212,CURRENT,SEK
ID535,BOS60959535,673985,CURRENT,CAD
ID536,BOS14165536,56808,CURRENT,CHF
ID537,BOS2241537,463667,SAVINGS,INR
ID538,BOS96106538,777307,SAVINGS,AUD
ID539,BOS30069539,318548,CURRENT,SGD
ID540,BOS91033540,125402,CURRENT,AUD
ID541,BOS65544541,110852,SAVINGS,SGD
ID542,BOS57516542,392033,SAVINGS,INR
ID543,BOS71063543,483528,SAVINGS,HKD
ID544,BOS22163544,134817,CURRENT,HKD
ID545,BOS43136545,351718,CURRENT,SGD
ID546,BOS32639546,469652,CURRENT,CAD
ID547,BOS84377547,87792,SAVINGS,GBP
ID548,BOS62795548,929815,CURRENT,INR
ID549,BOS5154549,531760,CURRENT,CAD
ID550,BOS6161550,304800,CURRENT,EUR
ID551,BOS65914551,676037,SAVINGS,USD
ID552,BOS85310552,715605,SAVINGS,INR
ID553,BOS97947553,654016,SAVINGS,EUR
ID554,BOS93354554,766873,CURRENT,SEK
ID555,BOS49532555,32215,SAVINGS,GBP
ID556,BOS4010556,189304,SAVINGS,AUD
ID557,BOS76499557,396332,SAVINGS,AUD
ID558,BOS29340558,934472,SAVINGS,GBP
ID559,BOS40565559,947653,CURRENT,USD
ID560,BOS62671560,511168,CURRENT,AUD
ID561,BOS69944561,861484,SAVINGS,SGD
ID562,BOS37784562,581875,SAVINGS,CAD
ID563,BOS58215563,823440,CURRENT,SEK
ID564,BOS24721564,844957,SAVINGS,SGD
ID565,BOS1482565,608756,CURRENT,CAD
ID566,BOS33723566,823786,SAVINGS,SEK
ID567,BOS77802567,916735,SAVINGS,SGD
ID568,BOS6414568,837323,CURRENT,SGD
ID569,BOS9606569,429233,CURRENT,USD
ID570,BOS36785570,978086,CURRENT,AUD
ID571,BOS9587571,202219,CURRENT,AUD
ID572,BOS66999572,964608,SAVINGS,INR
ID573,BOS51196573,796203,CURRENT,EUR
ID574,BOS86238574,46442,CURRENT,GBP
